AÑO,SEMESTRE,TRIMESTRE,DPTO,MUNICIPIO,ESPECIE,TIPO PRODUCTO,FUENTE,VOLUMEN M3
2012,I,I,Huila,Garzón,Anacardium excelsum,Bloque,ICA,23
2012,I,I,Huila,Garzón,Cassia grandis,Postes,ICA,6
2012,I,I,Huila,Garzón,Cedrela odorata L.,Bloque,ICA,4
2012,I,I,Huila,Garzón,Cedrela odorata L.,Otros,ICA,1
2012,I,I,Huila,Garzón,Cordia alliodora (R. & P.) Cham,Vara de Clavo,ICA,2
2012,I,I,Huila,Garzón,Erythrina fusca,Bloque,ICA,14
2012,I,I,Huila,Garzón,Erythrina fusca,Tabla,ICA,1
2012,I,I,Huila,Garzón,Guarea sp.,Postes,ICA,4
2012,I,I,Huila,Garzón,Guarea sp.,Tolete,ICA,4
2012,I,I,Huila,Garzón,Guarea sp.,Vara de Clavo,ICA,2
2012,I,I,Huila,Gigante,Eucalyptus grandis,Palanca de Mina,ICA,60
2012,I,I,Huila,Gigante,Eucalyptus grandis,Postes,ICA,4
2012,I,I,Huila,Tello,Eucalyptus grandis,Limatón,ICA,20
2012,I,I,Magdalena,Aracataca,Gmelina arborea,Bloque,ICA,495
2012,I,I,Magdalena,Fundacion,Gmelina arborea,Bloque,ICA,575
2012,I,I,Magdalena,Sabanas De San Angel,Eucalyptus tereticornis,Bloque,ICA,124
2012,I,I,Magdalena,Sabanas De San Angel,Gmelina arborea,Bloque,ICA,9
2012,I,I,Magdalena,Sabanas De San Angel,Tabebuia rosea (bertold) D.C,Bloque,ICA,152
2012,I,I,Magdalena,Sabanas De San Angel,Tectona grandis L. Fil,Bloque,ICA,219
2012,I,I,Magdalena,San Sebastián de Buenavista,Eucalyptus tereticornis,Bloque,ICA,103
2012,I,I,Magdalena,San Sebastián de Buenavista,Eucalyptus urophila,Bloque,ICA,56
2012,I,I,Magdalena,San Zenon,Eucalyptus camaldulensis,Bloque,ICA,15
2012,I,I,Magdalena,San Zenon,Eucalyptus tereticornis,Bloque,ICA,1861
2012,I,I,Magdalena,Santa Ana,Eucalyptus tereticornis,Bloque,ICA,498
2012,I,I,Magdalena,Santa Ana,Gmelina arborea,Bloque,ICA,752
2012,I,I,Norte De Santander,Bucarasica,Pseudosamanea guachapele (H.B.K),Tabla,ICA,9
2012,I,I,Norte De Santander,Cácota,Pinus patula,Bloque,ICA,632
2012,I,I,Norte De Santander,Cácota,Pinus patula,Palanca de Mina,ICA,96
2012,I,I,Norte De Santander,Cúcuta,Acacia mangium,Bloque,ICA,9
2012,I,I,Norte De Santander,Cúcuta,Acacia mangium,Palanca de Mina,ICA,615
2012,I,I,Norte De Santander,Cúcuta,Acacia mangium,Pilotes,ICA,6
2012,I,I,Norte De Santander,Cúcuta,Acacia mangium,Vara de Clavo,ICA,228
2012,I,I,Norte De Santander,Cúcuta,Cordia spp,Bloque,ICA,49
2012,I,I,Norte De Santander,Cúcuta,Cordia spp,Otros,ICA,6
2012,I,I,Norte De Santander,Cúcuta,Cordia spp,Palanca de Mina,ICA,59
2012,I,I,Norte De Santander,Cúcuta,Cordia spp,Vara de Clavo,ICA,35
2012,I,I,Norte De Santander,Cúcuta,Gmelina arborea,Bloque,ICA,112
2012,I,I,Norte De Santander,Cúcuta,Gmelina arborea,Palanca de Mina,ICA,66
2012,I,I,Norte De Santander,Cúcuta,Gmelina arborea,Pilotes,ICA,6
2012,I,I,Norte De Santander,Cúcuta,Gmelina arborea,Vara de Clavo,ICA,33
2012,I,I,Norte De Santander,Pamplona,Pinus patula,Bloque,ICA,838
2012,I,I,Norte De Santander,Pamplona,Pinus patula,Palanca de Mina,ICA,94
2012,I,I,Norte De Santander,Salazar,Cordia alliodora (R. & P.) Cham,Bloque,ICA,10
2012,I,I,Norte De Santander,Salazar,Pinus patula,Bloque,ICA,11
2012,I,I,Norte De Santander,Tibú,Cordia spp,Bloque,ICA,24
2012,I,I,Quindío,Armenia,Cordia spp,Bloque,ICA,12
2012,I,I,Quindío,Circasia,Eucalyptus grandis,Bloque,ICA,4
2012,I,I,Quindío,Circasia,Eucalyptus grandis,Otros,ICA,4
2012,I,I,Quindío,Circasia,Pinus patula,Bloque,ICA,16
2012,I,I,Quindío,Circasia,Pinus patula,Otros,ICA,32
2012,I,I,Quindío,Filandia,Eucalyptus grandis,Bloque,ICA,29
2012,I,I,Quindío,Génova,Cordia alliodora (R. & P.) Cham,Bloque,ICA,49
2012,I,I,Quindío,Génova,Eucalyptus grandis,Bloque,ICA,4
2012,I,I,Quindío,Génova,Eucalyptus grandis,Otros,ICA,584
2012,I,I,Quindío,Génova,Fraxinus spp.,Bloque,ICA,11
2012,I,I,Quindío,Quimbaya,Cordia alliodora (R. & P.) Cham,Bloque,ICA,11
2012,I,I,Quindío,Quimbaya,Cordia alliodora (R. & P.) Cham,Otros,ICA,11
2012,I,I,Quindío,Quimbaya,Eucalyptus grandis,Otros,ICA,20
2012,I,I,Quindío,Salento,Eucalyptus grandis,Bloque,ICA,62
2012,I,I,Quindío,Salento,Eucalyptus grandis,Otros,ICA,21
2012,I,I,Quindío,Salento,Fraxinus spp.,Bloque,ICA,8
2012,I,I,Santander,Aratoca,Cupressus lusitanica Mill.,Otros,ICA,200
2012,I,I,Santander,Betulia,Cordia spp,Bloque,ICA,24
2012,I,I,Santander,Betulia,Pseudosamanea guachapele (H.B.K),Bloque,ICA,10
2012,I,I,Santander,Bolívar,Cedrela odorata L.,Bloque,ICA,10
2012,I,I,Santander,Bolívar,Ficus spp.,Bloque,ICA,6
2012,I,I,Santander,Bolívar,Schizolobium parahyba (Vell.) S. F. Blake,Bloque,ICA,2
2012,I,I,Santander,Cerrito,Pinus patula,Bloque,ICA,80
2012,I,I,Santander,Cimitarra,Cedrela spp.,Bloque,ICA,85
2012,I,I,Santander,Cimitarra,Cordia spp,Bloque,ICA,62
2012,I,I,Santander,Cimitarra,Gmelina arborea,Bloque,ICA,38
2012,I,I,Santander,Cimitarra,Pseudosamanea guachapele (H.B.K),Bloque,ICA,4
2012,I,I,Santander,Cimitarra,Terminalia spp.,Bloque,ICA,10
2012,I,I,Santander,Curití,Cupressus lusitanica Mill.,Bloque,ICA,56
2012,I,I,Santander,Curití,Cupressus lusitanica Mill.,Otros,ICA,15
2012,I,I,Santander,Curití,Cupressus lusitanica Mill.,Vara de Clavo,ICA,304
2012,I,I,Santander,Curití,Pinus patula,Bloque,ICA,29
2012,I,I,Santander,Curití,Pinus patula,Vara de Clavo,ICA,45
2012,I,I,Santander,El Carmen,Cedrela odorata L.,Bloque,ICA,79
2012,I,I,Santander,El Carmen,Cordia spp,Bloque,ICA,51
2012,I,I,Santander,El Carmen,Pseudosamanea guachapele (H.B.K),Bloque,ICA,46
2012,I,I,Santander,El Carmen,Schizolobium parahyba (Vell.) S. F. Blake,Bloque,ICA,3
2012,I,I,Santander,Florian,Cedrela odorata L.,Bloque,ICA,10
2012,I,I,Santander,Florian,Croton funkianus,Bloque,ICA,2
2012,I,I,Santander,Girón,Pinus patula,Bloque,ICA,9
2012,I,I,Santander,La Belleza,Cupressus lusitanica Mill.,Bloque,ICA,20
2012,I,I,Santander,La Paz,Cedrela odorata L.,Bloque,ICA,4
2012,I,I,Santander,La Paz,Cordia spp,Bloque,ICA,1
2012,I,I,Santander,La Paz,Swietenia sp.,Bloque,ICA,13
2012,I,I,Santander,La Paz,Tabebuia rosea (bertold) D.C,Bloque,ICA,4
2012,I,I,Santander,La Paz,Tectona grandis L. Fil,Bloque,ICA,18
2012,I,I,Santander,Lebrija,Cedrela odorata L.,Bloque,ICA,11
2012,I,I,Santander,Lebrija,Cordia spp,Bloque,ICA,11
2012,I,I,Santander,Lebrija,Pinus oocarpa,Tabla,ICA,43
2012,I,I,Santander,Lebrija,Pinus oocarpa,Vara de Clavo,ICA,86
2012,I,I,Santander,Lebrija,Schizolobium parahyba (Vell.) S. F. Blake,Bloque,ICA,11
2012,I,I,Santander,Macaravita,Pinus patula,Bloque,ICA,176
2012,I,I,Santander,Piedecuesta,Pinus patula,Bloque,ICA,25
2012,I,I,Santander,Rionegro,Cedrela odorata L.,Bloque,ICA,12
2012,I,I,Santander,Rionegro,Cordia spp,Bloque,ICA,43
2012,I,I,Santander,Rionegro,Eucalyptus spp,Postes,ICA,7
2012,I,I,Santander,Rionegro,Schizolobium parahyba (Vell.) S. F. Blake,Otros,ICA,68
2012,I,I,Santander,San Gil,Pinus oocarpa,Otros,ICA,191
2012,I,I,Santander,San Vicente de Chucurí,Cedrela odorata L.,Bloque,ICA,128
2012,I,I,Santander,San Vicente de Chucurí,Cedrela odorata L.,Otros,ICA,2
2012,I,I,Santander,San Vicente de Chucurí,Cordia spp,Bloque,ICA,36
2012,I,I,Santander,San Vicente de Chucurí,Pseudosamanea guachapele (H.B.K),Bloque,ICA,25
2012,I,I,Santander,San Vicente de Chucurí,Schizolobium parahyba (Vell.) S. F. Blake,Bloque,ICA,6
2012,I,I,Santander,Simacota,Cedrela odorata L.,Bloque,ICA,340
2012,I,I,Santander,Simacota,Cordia spp,Bloque,ICA,236
2012,I,I,Santander,Simacota,Schizolobium parahyba (Vell.) S. F. Blake,Bloque,ICA,143
2012,I,I,Santander,Simacota,Tabebuia rosea (bertold) D.C,Bloque,ICA,5
2012,I,I,Santander,Suaita,Albizia sp.,Bloque,ICA,8
2012,I,I,Santander,Suaita,Cedrela odorata L.,Bloque,ICA,4
2012,I,I,Santander,Surata,Eucalyptus grandis,Cercos,ICA,12
2012,I,I,Santander,Surata,Eucalyptus spp,Bloque,ICA,60
2012,I,I,Santander,Surata,Pinus patula,Bloque,ICA,36
2012,I,I,Santander,Vélez,Cedrela odorata L.,Bloque,ICA,37
2012,I,I,Santander,Vélez,Ceiba pentandra,Bloque,ICA,5
2012,I,I,Santander,Vélez,Cordia spp,Bloque,ICA,50
2012,I,I,Santander,Vélez,Ficus spp.,Bloque,ICA,11
2012,I,I,Santander,Vélez,Jacaranda copaia,Bloque,ICA,4
2012,I,I,Santander,Vélez,Schizolobium parahyba (Vell.) S. F. Blake,Otros,ICA,6
2012,I,I,Santander,Zapatoca,Schizolobium parahyba (Vell.) S. F. Blake,Otros,ICA,59
2012,I,I,Sucre,San Onofre,Tabebuia rosea (bertold) D.C,Bloque,ICA,94
2012,I,I,Sucre,San Onofre,Tabebuia rosea (bertold) D.C,Otros,ICA,60
2012,I,I,Sucre,San Onofre,Tectona grandis L. Fil,Bloque,ICA,4
2012,I,I,Sucre,Tolú,Tabebuia rosea (bertold) D.C,Bloque,ICA,586
2012,I,I,Sucre,Tolú,Tabebuia rosea (bertold) D.C,Otros,ICA,52
2012,I,I,Sucre,Tolú,Tabebuia rosea (bertold) D.C,Postes,ICA,6
2012,I,I,Sucre,Tolú Viejo,Tectona grandis L. Fil,Otros,ICA,4149
2012,I,I,Valle Del Cauca,Argelia,Cordia alliodora (R. & P.) Cham,Postes,ICA,7
2012,I,I,Valle Del Cauca,Argelia,Eucalyptus grandis,Bloque,ICA,13
2012,I,I,Valle Del Cauca,Argelia,Pinus patula,Otros,ICA,13
2012,I,I,Valle Del Cauca,Cali,Pinus oocarpa,Postes,ICA,12
2012,I,I,Valle Del Cauca,El Águila,Cupressus lusitanica Mill.,Otros,ICA,10
2012,I,I,Valle Del Cauca,El Águila,Fraxinus spp.,Otros,ICA,1
2012,I,I,Valle Del Cauca,El Cairo,Eucalyptus grandis,Postes,ICA,2
2012,I,I,Valle Del Cauca,El Cairo,Pinus patula,Bloque,ICA,2
2012,I,I,Valle Del Cauca,El Cerrito,Cupressus lusitanica Mill.,Postes,ICA,16
2012,I,I,Valle Del Cauca,El Cerrito,Eucalyptus grandis,Postes,ICA,132
2012,I,I,Valle Del Cauca,Ginebra,Eucalyptus grandis,Postes,ICA,13
2012,I,I,Valle Del Cauca,Jamundí,Pinus oocarpa,Bloque,ICA,24
2012,I,I,Valle Del Cauca,Jamundí,Pinus oocarpa,Postes,ICA,24
2012,I,I,Valle Del Cauca,La Cumbre,Pinus oocarpa,Bloque,ICA,264
2012,I,I,Valle Del Cauca,Palmira,Cupressus lusitanica Mill.,Tabla,ICA,130
2012,I,I,Valle Del Cauca,Restrepo,Eucalyptus grandis,Postes,ICA,2548
2012,I,I,Valle Del Cauca,Trujillo,Eucalyptus grandis,Postes,ICA,6
2012,I,I,Valle Del Cauca,Tuluá,Cupressus lusitanica Mill.,Tabla,ICA,11
2012,I,I,Valle Del Cauca,Tuluá,Pinus patula,Bloque,ICA,2448
2012,I,I,Valle Del Cauca,Tuluá,Pinus patula,Postes,ICA,48
2012,I,I,Valle Del Cauca,Ulloa,Cordia alliodora (R. & P.) Cham,Bloque,ICA,116
2012,I,II,Antioquia,Abejorral,Cupressus lusitanica Mill.,Bloque,ICA,314
2012,I,II,Antioquia,Abejorral,Eucalyptus saligna,Bloque,ICA,393
2012,I,II,Antioquia,Amalfi,Cedrela odorata L.,Bloque,ICA,60
2012,I,II,Antioquia,Angostura,Pinus patula,Bloque,ICA,108
2012,I,II,Antioquia,Anza,Pinus patula,Bloque,ICA,140
2012,I,II,Antioquia,Apartadó,Cedrela odorata L.,Bloque,ICA,82
2012,I,II,Antioquia,Apartadó,Gmelina arborea,Bloque,ICA,131
2012,I,II,Antioquia,Apartadó,Tabebuia rosea (bertold) D.C,Bloque,ICA,204
2012,I,II,Antioquia,Bello,Pinus oocarpa,Bloque,ICA,300
2012,I,II,Antioquia,Bello,Pinus patula,Bloque,ICA,225
2012,I,II,Antioquia,Cáceres,Acacia mangium,Bloque,ICA,190
2012,I,II,Antioquia,Caldas,Cupressus lusitanica Mill.,Bloque,ICA,5332
2012,I,II,Antioquia,Caldas,Eucalyptus saligna,Bloque,ICA,2197
2012,I,II,Antioquia,Carepa,Cedrela odorata L.,Bloque,ICA,104
2012,I,II,Antioquia,Carepa,Tabebuia rosea (bertold) D.C,Bloque,ICA,186
2012,I,II,Antioquia,Caucasia,Acacia mangium,Bloque,ICA,1501
2012,I,II,Antioquia,Caucasia,Acacia mangium,Rolliza,ICA,25
2012,I,II,Antioquia,Chigorodó,Tabebuia rosea (bertold) D.C,Bloque,ICA,10
2012,I,II,Antioquia,Ciudad Bolívar,Cordia alliodora (R. & P.) Cham,Otros,ICA,72
2012,I,II,Antioquia,Entrerrios,Cupressus lusitanica Mill.,Bloque,ICA,40
2012,I,II,Antioquia,Entrerrios,Eucalyptus grandis,Bloque,ICA,4
2012,I,II,Antioquia,Entrerrios,Pinus patula,Bloque,ICA,4148
2012,I,II,Antioquia,Entrerrios,Pinus patula,Otros,ICA,108
2012,I,II,Antioquia,Envigado,Cupressus lusitanica Mill.,Bloque,ICA,95
2012,I,II,Antioquia,Envigado,Eucalyptus spp,Bloque,ICA,257
2012,I,II,Antioquia,Envigado,Pinus patula,Bloque,ICA,239
2012,I,II,Antioquia,Fredonia,Cupressus lusitanica Mill.,Bloque,ICA,90
2012,I,II,Antioquia,Frontino,Pinus oocarpa,Bloque,ICA,36
2012,I,II,Antioquia,Gomez Plata,Pinus patula,Bloque,ICA,180
2012,I,II,Antioquia,Guarne,Cupressus lusitanica Mill.,Bloque,ICA,8
2012,I,II,Antioquia,Guarne,Pinus patula,Bloque,ICA,4738
2012,I,II,Antioquia,Heliconia,Cupressus lusitanica Mill.,Bloque,ICA,512
2012,I,II,Antioquia,La Ceja,Cupressus lusitanica Mill.,Otros,ICA,17
2012,I,II,Antioquia,La Ceja,Pinus patula,Bloque,ICA,248
2012,I,II,Antioquia,Maceo,Cedrela odorata L.,Bloque,ICA,86
2012,I,II,Antioquia,Maceo,Cordia alliodora (R. & P.) Cham,Bloque,ICA,38
2012,I,II,Antioquia,Maceo,Jacaranda copaia,Bloque,ICA,49
2012,I,II,Antioquia,Medellin,Cupressus lusitanica Mill.,Bloque,ICA,3132
2012,I,II,Antioquia,Medellin,Cupressus lusitanica Mill.,Otros,ICA,641
2012,I,II,Antioquia,Medellin,Eucalyptus saligna,Bloque,ICA,57
2012,I,II,Antioquia,Medellin,Pinus maximinoi H.E. Moore,Bloque,ICA,99
2012,I,II,Antioquia,Medellin,Pinus patula,Bloque,ICA,1446
2012,I,II,Antioquia,Montebello,Cupressus lusitanica Mill.,Bloque,ICA,4006
2012,I,II,Antioquia,Montebello,Cupressus lusitanica Mill.,Pulpa,ICA,36
2012,I,II,Antioquia,Montebello,Cupressus lusitanica Mill.,Rolliza,ICA,24
2012,I,II,Antioquia,Montebello,Eucalyptus saligna,Bloque,ICA,296
2012,I,II,Antioquia,Montebello,Eucalyptus saligna,Pulpa,ICA,36
2012,I,II,Antioquia,Montebello,Pinus patula,Bloque,ICA,1950
2012,I,II,Antioquia,Necoclí,Cedrela odorata L.,Bloque,ICA,1
2012,I,II,Antioquia,Necoclí,Tabebuia rosea (bertold) D.C,Bloque,ICA,136
2012,I,II,Antioquia,Puerto Berrio,Cedrela odorata L.,Bloque,ICA,3551
2012,I,II,Antioquia,Retiro,Cupressus lusitanica Mill.,Bloque,ICA,2419
2012,I,II,Antioquia,Retiro,Cupressus lusitanica Mill.,Rolliza,ICA,64
2012,I,II,Antioquia,Retiro,Eucalyptus spp,Bloque,ICA,18
2012,I,II,Antioquia,Retiro,Pinus patula,Bloque,ICA,3308
2012,I,II,Antioquia,Retiro,Pinus  tecunumanii,Bloque,ICA,90
2012,I,II,Antioquia,Rionegro,Cupressus lusitanica Mill.,Bloque,ICA,16
2012,I,II,Antioquia,Salgar,Cordia alliodora (R. & P.) Cham,Bloque,ICA,88
2012,I,II,Antioquia,Salgar,Cordia alliodora (R. & P.) Cham,Otros,ICA,4
2012,I,II,Antioquia,San Andres De Cuerquia,Pinus patula,Bloque,ICA,886
2012,I,II,Antioquia,Santa Rosa De Osos,Cupressus lusitanica Mill.,Bloque,ICA,12
2012,I,II,Antioquia,Santa Rosa De Osos,Pinus patula,Bloque,ICA,1926
2012,I,II,Antioquia,Santa Rosa De Osos,Pinus patula,Otros,ICA,129
2012,I,II,Antioquia,Santa Rosa De Osos,Pinus patula,Pulpa,ICA,24
2012,I,II,Antioquia,Sonsón,Cupressus lusitanica Mill.,Bloque,ICA,160
2012,I,II,Antioquia,Támesis,Cordia alliodora (R. & P.) Cham,Bloque,ICA,73
2012,I,II,Antioquia,Turbo,Bombacopsis quinata (Jaq.) Dugand,Bloque,ICA,29
2012,I,II,Antioquia,Turbo,Cedrela odorata L.,Bloque,ICA,39
2012,I,II,Antioquia,Turbo,Cordia alliodora (R. & P.) Cham,Bloque,ICA,17
2012,I,II,Antioquia,Turbo,Enterolobium cyclocarpum,Bloque,ICA,140
2012,I,II,Antioquia,Turbo,Gmelina arborea,Bloque,ICA,61
2012,I,II,Antioquia,Turbo,Tabebuia rosea (bertold) D.C,Bloque,ICA,67
2012,I,II,Antioquia,Turbo,Tectona grandis L. Fil,Bloque,ICA,22
2012,I,II,Antioquia,Urrao,Alnus jorullensis HBK.,Bloque,ICA,12
2012,I,II,Antioquia,Urrao,Cupressus lusitanica Mill.,Bloque,ICA,1199
2012,I,II,Antioquia,Urrao,Cupressus lusitanica Mill.,Otros,ICA,74
2012,I,II,Antioquia,Urrao,Pinus patula,Bloque,ICA,1098
2012,I,II,Antioquia,Vegachi,Acacia mangium,Bloque,ICA,87
2012,I,II,Antioquia,Vegachi,Cedrela odorata L.,Bloque,ICA,205
2012,I,II,Antioquia,Vegachi,Jacaranda copaia,Bloque,ICA,80
2012,I,II,Antioquia,Yarumal,Pinus patula,Bloque,ICA,10254
2012,I,II,Antioquia,Yolombo,Pinus oocarpa,Bloque,ICA,4223
2012,I,II,Antioquia,Yolombo,Pinus  tecunumanii,Bloque,ICA,1117
2012,I,II,Arauca,Arauquita,Cedrela odorata L.,Bloque,ICA,9
2012,I,II,Arauca,Arauquita,Cordia alliodora (R. & P.) Cham,Bloque,ICA,7
2012,I,II,Arauca,Arauquita,Gmelina arborea,Bloque,ICA,28
2012,I,II,Arauca,Arauquita,Pachira quinata (Jacq.) W.S. Alverson,Bloque,ICA,43
2012,I,II,Arauca,Arauquita,Tabebuia rosea (bertold) D.C,Bloque,ICA,39
2012,I,II,Atlántico,Repelon,Gmelina arborea,Bloque,ICA,120
2012,I,II,Atlántico,Sabanalarga,Gmelina arborea,Bloque,ICA,110
2012,I,II,Bolívar,Córdoba,Gmelina arborea,Otros,ICA,2380
2012,I,II,Bolívar,Córdoba,Gmelina arborea,Postes,ICA,805
2012,I,II,Bolívar,El Guamo,Gmelina arborea,Otros,ICA,232
2012,I,II,Bolívar,San Jacinto,Pachira quinata (Jacq.) W.S. Alverson,Bloque,ICA,80
2012,I,II,Bolívar,Zambrano,Gmelina arborea,Otros,ICA,35
2012,I,II,Bolívar,Zambrano,Pachira quinata (Jacq.) W.S. Alverson,Otros,ICA,2245
2012,I,II,Bolívar,Zambrano,Pachira quinata (Jacq.) W.S. Alverson,Postes,ICA,175
2012,I,II,Boyacá,Paz De Rio,Eucalyptus globulus,Palanca de Mina,ICA,0
2012,I,II,Caldas,Aranzazu,Eucalyptus grandis,Bloque,ICA,18
2012,I,II,Caldas,Manizales,Cordia alliodora (R. & P.) Cham,Bloque,ICA,6
2012,I,II,Caldas,Manizales,Cordia alliodora (R. & P.) Cham,Postes,ICA,6
2012,I,II,Caldas,Manizales,Cupressus lusitanica Mill.,Bloque,ICA,20
2012,I,II,Caldas,Manizales,Cupressus lusitanica Mill.,Otros,ICA,10
2012,I,II,Caldas,Manizales,Cupressus lusitanica Mill.,Postes,ICA,110
2012,I,II,Caldas,Neira,Cordia alliodora (R. & P.) Cham,Bloque,ICA,3
2012,I,II,Caldas,Neira,Eucalyptus grandis,Bloque,ICA,6
2012,I,II,Caldas,Neira,Fraxinus spp.,Bloque,ICA,9
2012,I,II,Caldas,Neira,Pinus patula,Bloque,ICA,60
2012,I,II,Caldas,Pácora,Cupressus lusitanica Mill.,Bloque,ICA,11
2012,I,II,Caldas,Pensilvania,Cupressus lusitanica Mill.,Bloque,ICA,20
2012,I,II,Caldas,Pensilvania,Cupressus lusitanica Mill.,Postes,ICA,15
2012,I,II,Caldas,Pensilvania,Cupressus lusitanica Mill.,Rolliza,ICA,30
2012,I,II,Caldas,Pensilvania,Pinus patula,Bloque,ICA,118
2012,I,II,Caldas,Salamina,Cordia alliodora (R. & P.) Cham,Bloque,ICA,2
2012,I,II,Caldas,Salamina,Cupressus lusitanica Mill.,Bloque,ICA,108
2012,I,II,Caldas,Salamina,Eucalyptus globulus,Bloque,ICA,6
2012,I,II,Caldas,Salamina,Pinus patula,Bloque,ICA,486
2012,I,II,Caldas,Villamaría,Cupressus lusitanica Mill.,Bloque,ICA,8
2012,I,II,Caldas,Villamaría,Eucalyptus grandis,Bloque,ICA,30
2012,I,II,Caldas,Villamaría,Eucalyptus grandis,Otros,ICA,6
2012,I,II,Caldas,Villamaría,Fraxinus spp.,Bloque,ICA,4
2012,I,II,Caldas,Villamaría,Fraxinus spp.,Rolliza,ICA,6
